date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:31:15	127665/127665	---MC-	200	added ('OK')	text/html	date:Fri,%2017%20Feb%202023%2006:01:15%20GMT	https://allexrobin.systeme.io/findyoursoulmate	C:/Users/aleen/Desktop/soull/allexrobin.systeme.io/findyoursoulmate.html	(from )
11:31:16	13/13	---M--	200	added ('OK')	text/plain	etag:%2263eea0b3-d%22	https://allexrobin.systeme.io/robots.txt		(from )
11:31:17	3213/3213	---M--	200	added ('OK')	image/png	etag:%22d802be4b73c5ff5a3428da663a2d9ccf%22	https://d1yei2z3i6k35z.cloudfront.net/161/62f398fdbb17a_Group1.png	C:/Users/aleen/Desktop/soull/d1yei2z3i6k35z.cloudfront.net/161/62f398fdbb17a_Group1.png	(from https://allexrobin.systeme.io/findyoursoulmate)
11:31:17	3103/3103	---M--	200	added ('OK')	image/png	etag:%22dcc736ab10c56a2bd3f1bf4258ec3400%22	https://d1yei2z3i6k35z.cloudfront.net/161/62f3b4545fab1_Group1.png	C:/Users/aleen/Desktop/soull/d1yei2z3i6k35z.cloudfront.net/161/62f3b4545fab1_Group1.png	(from https://allexrobin.systeme.io/findyoursoulmate)
11:31:18	222/222	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2010%20Jan%202023%2011:07:49%20GMT	https://cdn.polyfill.io/v2/polyfill.min.js?features=Intl.~locale.en%2CmatchMedia	C:/Users/aleen/Desktop/soull/cdn.polyfill.io/v2/polyfill.minfad9.js	(from https://allexrobin.systeme.io/findyoursoulmate)
11:31:19	1793/1793	---M--	200	added ('OK')	image/png	etag:%22fab549061c9441d60626481700538b8b%22	https://d1yei2z3i6k35z.cloudfront.net/systeme-common/6253da967cdf4_Group1.png	C:/Users/aleen/Desktop/soull/d1yei2z3i6k35z.cloudfront.net/systeme-common/6253da967cdf4_Group1.png	(from https://allexrobin.systeme.io/findyoursoulmate)
11:31:19	498160/498160	---MCZ	200	added ('OK')	text/css	etag:W/%22325672b036bab9b57f6873aed5eccc43%22	https://d3fit27i5nzkqh.cloudfront.net/assets/css/all.min.css	C:/Users/aleen/Desktop/soull/d3fit27i5nzkqh.cloudfront.net/assets/css/all.min.css	(from https://allexrobin.systeme.io/findyoursoulmate)
11:31:19	8208/8208	---M--	200	added ('OK')	image/png	etag:%2219c0825321bf1cf3cf2cfc40b399a405%22	https://d1yei2z3i6k35z.cloudfront.net/161/62f268577d0b4_Group1.png	C:/Users/aleen/Desktop/soull/d1yei2z3i6k35z.cloudfront.net/161/62f268577d0b4_Group1.png	(from https://allexrobin.systeme.io/findyoursoulmate)
11:31:20	1717/1717	---MCZ	200	added ('OK')	application/javascript	etag:W/%227e48280fb388cda9c9571931b0370d17%22	https://d3fit27i5nzkqh.cloudfront.net/js/runtimeSimplePage.6525755ed16e40f11e2f.js	C:/Users/aleen/Desktop/soull/d3fit27i5nzkqh.cloudfront.net/js/runtimeSimplePage.6525755ed16e40f11e2f.js	(from https://allexrobin.systeme.io/findyoursoulmate)
11:31:21	498521/498521	---MCZ	200	added ('OK')	application/javascript	etag:W/%220d3af8a02728316c0234c695254dbc50%22	https://d3fit27i5nzkqh.cloudfront.net/js/simplePage.d7a3abc1ee393c766641.js	C:/Users/aleen/Desktop/soull/d3fit27i5nzkqh.cloudfront.net/js/simplePage.d7a3abc1ee393c766641.js	(from https://allexrobin.systeme.io/findyoursoulmate)
11:31:21	863515/863515	---MCZ	200	added ('OK')	application/javascript	etag:W/%223205e2b6080f635764b5e003a11e8852%22	https://d3fit27i5nzkqh.cloudfront.net/js/vendors~simplePage.ee9310ad2d6b7ab45026.js	C:/Users/aleen/Desktop/soull/d3fit27i5nzkqh.cloudfront.net/js/vendors_simplePage.ee9310ad2d6b7ab45026.js	(from https://allexrobin.systeme.io/findyoursoulmate)
